ID	LENGTH									COUNT 	TIME STAMP
(X) 8482D0	8	0	0	0	80	0	0	0	0	7	2482
(X) 8482D7	8	0	0	0	0	0	0	0	0	7	2483
(X) 1840F4D0	8	1	0	0	0	0	0	0	0	8	1987
(X) 18FF01D0	8	0	0	70	EB	10	1B	10	27	11	988
(X) 18FF02D0	4	BD	C7	31	A7					B0	100
(X) 18FF02D0	4	BE	7	E2	29					4	1191
(X) 18FF03D0	6	0	DB	0	DE	0	DC			10	991
(X) 18FF04D0	6	0	D6	0	D6	0	D6			11	988
(X) 18FF05D0	8	27	0F	27	8	40	FE	C1	0F	11	989
(X) 18FF07D0	3	56	15	2						11	988
(X) 18FF0CD0	8	0	0	0	0	40	16	46	24	11	989
(X) 18FF0DD0	2	1	11							11	989
(X) 18FF0FD0	2	FF	FD							11	988
(X) 18FF10D0	3	0	0	0						7	2285
(X) 18FF11D0	3	0	0	0						7	2285
(X) 18FF12D0	3	0	0	0						7	2288
(X) 18FF13D0	3	0	0	0						7	2284
(X) 18FF14D0	3	0	0	0						7	2284
(X) 18FF15D0	3	0	0	0						7	2274
(X) 18FF16D0	3	0	0	0						6	2285
(X) 18FF17D0	3	0	0	0						6	2285
(X) 18FF18D0	3	0	0	0						7	2273
(X) 18FF19D0	3	0	0	0						7	2285
(X) 18FF1AD0	3	0	0	0						7	2285
(X) 18FF1BD0	3	0	0	0						7	2285
(X) 18FF1CD0	3	0	0	0						7	2285
(X) 18FF1DD0	3	0	0	0						7	2285
(X) 18FF1ED0	3	0	0	0						7	2284
(X) 18FF1FD0	3	0	0	0						7	2293
(X) 18FF20D0	3	0	0	0						7	2284
(X) 18FF21D0	3	0	0	0						7	2284
(X) 18FF22D0	3	0	0	0						7	2278
(X) 18FF23D0	3	0	0	0						7	2285
(X) 18FF24D0	3	0	0	0						7	2285
(X) 18FF25D0	3	0	0	0						7	2284
(X) 18FF26D0	3	0	0	0						7	2285
(X) 18FF2DD0	8	1	48	42	50	31	32	31	30	11	995
(X) 18FF2DD0	8	2	31	32	30	30	30	32	33	11	995
(X) 18FF2DD0	8	3	0	0	0	0	0	0	0	11	994
(X) 18FF2DD0	8	4	0	0	0	0	0	0	0	11	990
(X) 18FF2DD0	8	5	0	0	0	0	0	0	0	11	994
(X) 18FF30D0	8	0	6	10	1B	0	0	0	0	88	99
(X) 18FF31D0	8	0	0	0	DE	0	DB	0	0	2C	404
(X) 18FF32D0	8	33	DB	43	F1	3D	9C	F0	EC	11	989
(X) 18FF33D0	8	0	0	0	4	40	2C	CC	CD	11	995
(X) 18FF3CD0	4	D4	7B	28	7D					B5	99
(X) 18FF3DD0	8	44	9C	40	0	0	0	0	0	11	997
